team,Most_matches_played,matches,Top_scorer,runs,Top_wicket-taker,wickets,highest_team_total,lowest_team_total
Chennai Super Kings,MS Dhoni,248,MS Dhoni,4865,Ravindra Jadeja,143,246/5 ,79/10 
Deccan Chargers,Pragyan Ojha,54,Adam Gilchrist,1220,Pragyan Ojha,60,214/5,82/10
Delhi Capitals,Rishab Pant,111,Rishab Pant,3284,Amit Mishra,106,264/2,66/10
Gujarat Lions,Dinesh Karthik,30,Suresh Raina,841,Dhawal Kulkarni,21,208/7,104/10
Gujarat Titans,Rashid Khan,77,Shubman Gill,3181,Rashid Khan,86,233/3,89/10
Punjab Kings,Arshdeep Singh ,96,KL Rahul,2548,Arshdeep Singh,111,265/4,73/10
Kochi Tuskers Kerala,Brad Hodge,14,Brendom McCullum,357,RP Singh,13,184/2,74/10
Kolkata Knight Riders,Sunil Narine,202,Gautam Gambhir,3035,Sunil Narine,207,272/7,67/10
Lucknow Super Giants ,Ayush Badoni,66,Nicholas Pooran,1615,Ravi Bishnoi,48,257/5,82/10
Mumbai Indians,Rohit Sharma,236,Rohit Sharma,6159,Jasprit Bumrah,187,247/9,87/10
Pune Warriors,Robin Uthappa,46,Robin Uthappa,1103,Rahul Sharma,34,192/3,99/9
Rajasthan Royals,Sanju Samson,149,Sanju Samson,4027,Jofra Archer,82,243/8,58/10
Rising Pune Supergiants,MS Dhoni,30,Ajinkya Rahane,862,Jaydev Unadkat,24,195/3,108/10
Royal Challengers Bengaluru,Virat Kohli,283,Virat Kohli,9336,Yuzvendra Chahal,139,263/5,49/10
Sunrisers Hyderabad,Bhuvneshwar Kumar,145,David Warner,4014,Bhuvneshwar Kumar,157,287/3,86/10
