match_id,date,season,venue,team 1,team 2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,win_by_runs,win_by_wickets
2008-01,"Apr 18, 2008",2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,82,10,222,3,Kolkata Knight Riders,140,0
2008-02,"Apr 19, 2008",2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,207,4,240,5,Chennai Super Kings,33,0
2008-03,"Apr 19, 2008",2008,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,132,1,129,8,Delhi Capitals,0,9
2008-04,"Apr 20, 2008",2008,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,112,5,110,10,Kolkata Knight Riders,0,5
2008-05,"Apr 20, 2008",2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,165,7,166,5,Royal Challengers Bengaluru,0,5
2008-06,"Apr 21, 2008",2008,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,168,4,166,8,Rajasthan Royals,0,6
2008-07,"Apr 22, 2008",2008,Rajiv Gandhi International Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,142,8,143,1,Delhi Capitals,0,9
2008-08,"Apr 23, 2008",2008,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,208,5,202,7,Chennai Super Kings,6,0
2008-09,"Apr 24, 2008",2008,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,214,5,217,7,Rajasthan Royals,0,3
2008-10,"Apr 25, 2008",2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,182,10,116,9,Punjab Kings,66,0
2008-11,"Apr 26, 2008",2008,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,152,1,147,9,Chennai Super Kings,0,9
2008-12,"Apr 26, 2008",2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,135,8,138,3,Rajasthan Royals,0,7
2008-13,"Apr 27, 2008",2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,162,6,158,8,Punjab Kings,0,4
2008-14,"Apr 27, 2008",2008,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,154,7,155,0,Deccan Chargers,0,10
2008-15,"Apr 28, 2008",2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,165,10,178,5,Chennai Super Kings,13,0
2008-16,"Apr 29, 2008",2008,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,137,8,138,3,Mumbai Indians,0,7
2008-17,"Apr 30, 2008",2008,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,191,5,181,5,Delhi Capitals,10,0
2008-18,"May 1, 2008",2008,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,196,7,151,10,Rajasthan Royals,45,0
2008-19,"May 1, 2008",2008,Rajiv Gandhi International Stadium,Deccan Chargers,Punjab Kings,Punjab Kings,field,164,8,167,3,Punjab Kings,0,7
2008-20,"May 2, 2008",2008,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,169,6,172,2,Delhi Capitals,0,8
2008-21,"May 3, 2008",2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,178,6,169,6,Punjab Kings,9,0
2008-22,"May 3, 2008",2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,field,156,8,153,6,Royal Challengers Bengaluru,3,0
2008-23,"May 4, 2008",2008,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,162,8,133,10,Mumbai Indians,29,0
2008-24,"May 4, 2008",2008,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,110,2,109,10,Rajasthan Royals,0,8
