match_id,season,venue,team,winner,result
2008-01,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Loss
2008-02,2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Chennai Super Kings,Loss
2008-03,2008,Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,Win
2008-04,2008,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Win
2008-05,2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Loss
2008-06,2008,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Win
2008-07,2008,Rajiv Gandhi International Stadium,Deccan Chargers,Delhi Capitals,Loss
2008-08,2008,MA Chidambaram Stadium,Chennai Super Kings,Chennai Super Kings,Win
2008-09,2008,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Loss
2008-10,2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Punjab Kings,Win
2008-11,2008,MA Chidambaram Stadium,Chennai Super Kings,Chennai Super Kings,Win
2008-12,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Loss
2008-13,2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Punjab Kings,Win
2008-14,2008,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Loss
2008-15,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Loss
2008-16,2008,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Loss
2008-17,2008,Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,Win
2008-18,2008,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Win
2008-19,2008,Rajiv Gandhi International Stadium,Deccan Chargers,Punjab Kings,Loss
2008-20,2008,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Loss
2008-21,2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Punjab Kings,Win
2008-22,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Win
2008-23,2008,Dr DY Patil Sports Academy,Mumbai Indians,Mumbai Indians,Win
2008-24,2008,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Win
2008-25,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Punjab Kings,Loss
2008-26,2008,MA Chidambaram Stadium,Chennai Super Kings,Deccan Chargers,Loss
2008-27,2008,Dr DY Patil Sports Academy,Mumbai Indians,Mumbai Indians,Win
2008-28,2008,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Win
2008-29,2008,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Loss
2008-30,2008,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Win
2008-31,2008,MA Chidambaram Stadium,Chennai Super Kings,Chennai Super Kings,Win
2008-32,2008,Rajiv Gandhi International Stadium,Deccan Chargers,Kolkata Knight Riders,Loss
2008-33,2008,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Win
2008-34,2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Punjab Kings,Win
2008-35,2008,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Win
2008-36,2008,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Win
2008-37,2008,Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,Win
2008-38,2008,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Win
2008-39,2008,Arun Jaitley Stadium,Delhi Capitals,Punjab Kings,Loss
2008-40,2008,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Win
2008-41,2008,Rajiv Gandhi International Stadium,Deccan Chargers,Mumbai Indians,Loss
2008-42,2008,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Loss
2008-43,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Loss
2008-44,2008,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Loss
2008-45,2008,Wankhede Stadium,Mumbai Indians,Punjab Kings,Loss
2008-46,2008,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bengaluru,Loss
2008-47,2008,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Punjab Kings,Win
2008-48,2008,Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,Win
